"trimmed_event_name"
"Annual Festival"
"Navaratri Celebration"
"Kamakya Puja"
"Vaishno Devi Yatra"
"Krishna Janmashtami"
"Tripura Sundari Festival"
"Amarnath Yatra"
"Kedarnath Opening"
"Badrinath Opening"
"Nani Devi Fair"
"Hinglaj Mata Mela"
"Dakshayani Devi Pooja"
"Siddhivinayak Chaturthi"
"Shakeshwari Temple Festival"
"Kali Ghat Festival"
"Ram Mandir Inauguration"
"Rangnath Swamy Festival"
"Diwali Celebrations"
"Gurdwara Janam Asthan Celebration"
"Vaisakhi Festival"
"Guru Nanak Jayanti"
"Dasmesh Darbar Celebration"
"Hajj Season"
"Prophet Muhammad’s Birthday"
"Shah Jahan Mosque Festival"
"Blue Mosque Festivals"
"Al-Omari Mosque Ceremonies"
"Hassan II Mosque Festival"
"Holy Trinity Festival"
"St. Basil’s Day"
"Easter Celebration"
"St. Paul’s Day"
"St. Mary’s Day"
"Notre Dame Festival"
"Emerald Buddha Festival"
"Angkor Wat Festival"
"Boudha Nath Stupa Festival"
"Maha Bodhi Pooja"
"Uluwatu Temple Festival"
"Ranakpur Jain Festival"
"Khajuraho Festival"
"Kulpakji Festival"
"Kirti Garbha Festival"
"Melbourne Jain Festival"
"Dilwara Temple Festival"
"Agiary Festival"
"Fire Temple Festival"
"Zoroastrian Centre Events"
"Yazd Fire Festival"
"Sanatorium Temple Events"
