"pilgrimage_name","event_name"
"The Sanatorium Fire Temple","Annual Festival"
"Yazd Fire Temple","Annual Festival"
"Zoroastrian Centre of Canada","Annual Festival"
"Fire Temple of Udwada","Annual Festival"
"Agiary Mumbai","Annual Festival"
"Dilwara Temple","Annual Festival"
"Jain Temple, Melbourne","Annual Festival"
"Kirti Garbha Temple","Annual Festival"
"Jain Temple, Kulpakji","Annual Festival"
"Jain Temple, Khajuraho","Annual Festival"
"Jain Temple, Ranakpur","Annual Festival"
"Uluwatu Temple","Annual Festival"
"Maha Bodhi Temple","Annual Festival"
"Boudha Nath Stupa","Annual Festival"
"Angkor Wat","Annual Festival"
"The Temple of Emerald Buddha","Annual Festival"
"Notre Dame Cathedral","Annual Festival"
"St. Mary's Cathedral","Annual Festival"
"St. Paul's Cathedral","Annual Festival"
"The Church of the Holy Sepulchre","Annual Festival"
"St. Basil's Cathedral","Annual Festival"
"Holy Trinity Cathedral","Annual Festival"
"Hassan II Mosque","Annual Festival"
"Al-Omari Mosque","Annual Festival"
"Sultan Ahmed Mosque","Annual Festival"
"Shah Jahan Mosque","Annual Festival"
"Al-Masjid an-Nabawi","Annual Festival"
"Al-Masjid al-Haram","Annual Festival"
"Gurdwara Sahib Dasmesh Darbar","Annual Festival"
"Gurdwara Sahib Manikaran","Annual Festival"
"Gurdwara Anandpur Sahib","Annual Festival"
"Gurdwara Janam Asthan","Annual Festival"
"Golden Temple","Annual Festival"
"Ram Mandir","Annual Festival"
"Rangnath Swamy Temple","Annual Festival"
"Kali Ghat","Annual Festival"
"Shakeshwari Temple","Annual Festival"
"Siddhivinayak Temple","Annual Festival"
"Dakshayani Devi Temple","Annual Festival"
"Hinglaj Mata Temple","Annual Festival"
"Naina Devi","Annual Festival"
"Badrinath","Annual Festival"
"Kedarnath","Annual Festival"
"Amarnath","Annual Festival"
"Tripura Sundri Temple","Annual Festival"
"Banke Bihari","Annual Festival"
"Vaishno Devi","Annual Festival"
"Kamakya","Annual Festival"
"Kali Pith","Annual Festival"
"Kashi Vishvanaath","Annual Festival"
"The Sanatorium Fire Temple","Navaratri Celebration"
"Yazd Fire Temple","Navaratri Celebration"
"Zoroastrian Centre of Canada","Navaratri Celebration"
"Fire Temple of Udwada","Navaratri Celebration"
"Agiary Mumbai","Navaratri Celebration"
"Dilwara Temple","Navaratri Celebration"
"Jain Temple, Melbourne","Navaratri Celebration"
"Kirti Garbha Temple","Navaratri Celebration"
"Jain Temple, Kulpakji","Navaratri Celebration"
"Jain Temple, Khajuraho","Navaratri Celebration"
"Jain Temple, Ranakpur","Navaratri Celebration"
"Uluwatu Temple","Navaratri Celebration"
"Maha Bodhi Temple","Navaratri Celebration"
"Boudha Nath Stupa","Navaratri Celebration"
"Angkor Wat","Navaratri Celebration"
"The Temple of Emerald Buddha","Navaratri Celebration"
"Notre Dame Cathedral","Navaratri Celebration"
"St. Mary's Cathedral","Navaratri Celebration"
"St. Paul's Cathedral","Navaratri Celebration"
"The Church of the Holy Sepulchre","Navaratri Celebration"
"St. Basil's Cathedral","Navaratri Celebration"
"Holy Trinity Cathedral","Navaratri Celebration"
"Hassan II Mosque","Navaratri Celebration"
"Al-Omari Mosque","Navaratri Celebration"
"Sultan Ahmed Mosque","Navaratri Celebration"
"Shah Jahan Mosque","Navaratri Celebration"
"Al-Masjid an-Nabawi","Navaratri Celebration"
"Al-Masjid al-Haram","Navaratri Celebration"
"Gurdwara Sahib Dasmesh Darbar","Navaratri Celebration"
"Gurdwara Sahib Manikaran","Navaratri Celebration"
"Gurdwara Anandpur Sahib","Navaratri Celebration"
"Gurdwara Janam Asthan","Navaratri Celebration"
"Golden Temple","Navaratri Celebration"
"Ram Mandir","Navaratri Celebration"
"Rangnath Swamy Temple","Navaratri Celebration"
"Kali Ghat","Navaratri Celebration"
"Shakeshwari Temple","Navaratri Celebration"
"Siddhivinayak Temple","Navaratri Celebration"
